"","labID","genos","missing"
"1","z0006796",148,15
"2","z0006798",162,1
"3","z0006799",161,2
"4","z0006800",159,4
"5","z0006801",150,13
"6","z0006802",162,1
"7","z0006803",157,6
"8","z0006805",159,4
"9","z0012480",155,8
"10","z0012481",163,0
"11","z0012482",153,10
"12","z0012483",157,6
"13","z0012484",149,14
"14","z0012485",162,1
"15","z0012486",152,11
"16","z0012488",147,16
"17","z0012489",163,0
"18","z0012490",118,45
"19","z0012491",152,11
"20","z0012492",163,0
"21","z0012493",144,19
"22","z0012494",151,12
"23","z0012497",157,6
"24","z0012499",161,2
"25","z0012500",160,3
"26","z0012503",154,9
"27","z0012504",161,2
"28","z0012505",133,30
"29","z0012511",153,10
"30","z0012515",124,39
"31","z0012517",147,16
"32","z0012519",160,3
"33","z0012520",156,7
"34","z0012521",162,1
"35","z0012522",144,19
"36","z0012523",139,24
"37","z0012524",145,18
"38","z0012525",151,12
"39","z0012527",161,2
"40","z0012528",147,16
"41","z0016882",134,29
"42","z0016883",162,1
"43","z0016884",162,1
"44","z0016885",151,12
"45","z0016886",135,28
"46","z0016887",137,26
"47","z0016888",145,18
"48","z0026450",163,0
"49","z0026451",154,9
"50","z0026452",150,13
"51","z0026456",140,23
"52","z0026457",162,1
"53","z0026458",139,24
"54","z0032021",161,2
"55","z0032023",134,29
"56","z0032024",155,8
"57","z0032031",149,14
"58","z0035352",159,4
"59","z0037412",162,1
"60","z0037417",152,11
"61","z0037418",150,13
"62","z0037419",161,2
"63","z0037422",154,9
"64","z0037463",162,1
"65","z0037464",161,2
"66","z0037466",158,5
"67","z0037467",145,18
"68","z0037468",156,7
"69","z0037471",158,5
"70","z0040942",161,2
"71","z0061457",158,5
"72","z0061464",157,6
"73","z0061467",163,0
"74","z0061468",146,17
"75","z0062622",163,0
"76","z0062627",162,1
"77","z0062630",162,1
"78","z0062634",159,4
"79","z0062636",160,3
"80","z0062680",158,5
"81","z0062681",159,4
"82","z0062687",163,0
"83","z0062737",155,8
"84","z0062742",161,2
"85","z0062743",162,1
"86","z0062752",163,0
"87","z0062761",163,0
"88","z0062766",163,0
"89","z0062787",162,1
"90","z0076691",163,0
"91","z0076693",160,3
"92","z0076695",162,1
"93","z0076697",163,0
"94","z0076699",158,5
"95","z0076701",154,9
"96","z0076703",150,13
"97","z0076705",152,11
"98","z0076707",159,4
"99","z0076709",159,4
"100","z0076711",157,6
"101","z0076713",150,13
"102","z0076715",156,7
"103","z0102589",159,4
"104","z0102605",162,1
"105","z0102610",163,0
"106","z0102616",158,5
"107","z0102682",132,31
"108","z0117088",132,31
"109","z0117094",128,35
"110","z0117103",151,12
"111","z0134055",145,18
"112","z0134059",141,22
"113","z0134061",132,31
"114","z0134066",125,38
"115","z0134070",161,2
"116","z0134074",162,1
"117","z0134087",132,31
"118","z0134095",120,43
"119","z0134097",141,22
"120","z0134098",150,13
"121","z0134101",158,5
"122","z0134108",153,10
"123","z0134109",152,11
"124","z0134111",144,19
"125","z0134112",162,1
"126","z0134113",161,2
"127","z0178009",163,0
"128","z0178011",161,2
"129","z0178014",162,1
"130","z0207730",162,1
"131","z0207745",159,4
"132","z0210588",162,1
"133","z0216904",160,3
"134","z0216906",155,8
"135","z0216907",119,44
"136","z0216913",132,31
"137","z0216918",146,17
"138","z0216926",121,42
"139","z0216927",132,31
"140","z0216928",160,3
"141","z0216930",160,3
"142","z0216931",146,17
