"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3"
"1","Dc00544",86,3,2,1,1
"2","Dc01018",121,3,2,1,1
"3","Dc01661",148,6,2,2,1
"4","Dc01707",149,9,2,2,1
"5","Dc01784",146,3,2,1,1
"6","Dc02951",149,3,2,1,1
"7","Dc03456",149,3,2,1,1
"8","Dc03556",148,3,2,1,1
"9","Dc03887",45,6,2,2,1
"10","Dc05864",88,6,2,2,1
"11","Dc06503",88,2,2,1,1
"12","Dc07300",149,6,2,2,1
"13","Dc07937",142,5,2,2,1
"14","Dc08054",149,6,2,2,1
"15","Dc08189",138,5,2,2,1
"16","Dc08463",149,3,2,1,1
"17","Dc08578",83,6,2,2,1
"18","Dc08865",149,6,2,2,1
"19","Dc10003",109,3,2,1,1
"20","Dc10390",149,3,2,1,1
"21","Dc10878",101,3,2,1,1
"22","Dc10885",148,6,2,2,1
"23","Dc11062",67,6,2,2,1
"24","Dc11203",149,3,2,2,1
"25","Dc11295",65,3,2,1,1
"26","Dc11714",141,3,2,1,1
"27","Dc12329",53,6,2,2,1
"28","Dc13159",134,5,2,2,1
"29","Dc13592",138,5,2,2,1
"30","Dc14022",145,2,2,1,1
"31","Dc14945",149,3,2,1,1
"32","Dc16747",125,3,2,1,1
"33","Dc16962",66,6,2,2,1
"34","Dc18951",149,3,2,1,1
"35","Dc20232",146,5,2,2,1
"36","Dc21465",58,3,2,1,1
"37","Dc21637",41,5,2,2,1
"38","Dc22013",51,5,2,2,1
"39","Dc22883",126,6,2,2,1
"40","Dc22887",149,3,2,1,1
"41","Dc27955",117,3,2,1,1
"42","Dc28124",149,2,2,1,1
"43","Dc28776",143,3,2,1,1
"44","Dc30071",148,3,2,1,1
"45","Dc31007",99,3,2,1,1
"46","Dc33714",148,5,2,2,1
"47","Dc33907",144,3,2,1,1
"48","Dc34902",149,3,2,1,1
"49","Dc35779",148,3,2,1,1
"50","Dc36571",138,3,2,1,1
"51","Dc36616",149,3,2,1,1
"52","Dc36767",89,6,2,2,1
"53","Dc40235",149,3,2,1,1
"54","Dc41234",97,6,2,2,1
"55","Dc46984",149,6,2,2,1
"56","Dc47572",149,5,2,2,1
"57","Dc47935",149,10,2,2,2
"58","Dc48207",132,2,2,1,1
"59","Dc48950",149,6,2,2,1
"60","Dc49080",149,3,2,1,1
"61","Dc49184",149,5,2,2,1
"62","Dc51020",149,3,2,1,1
"63","Dc52523",147,9,2,2,1
"64","Dc55481",130,3,2,1,1
"65","Dc58248",149,8,2,2,1
"66","Dc62188",149,6,2,2,1
"67","Dc67011",149,3,2,1,1
"68","locus002",103,3,2,1,1
"69","locus003",149,3,2,1,1
"70","locus004",149,3,2,1,1
"71","locus005",148,3,2,1,1
"72","locus006",149,3,2,1,1
"73","locus008",148,3,2,1,1
"74","locus013",149,3,2,1,1
"75","locus014",149,3,2,1,1
"76","locus016",141,3,2,1,1
"77","locus019",73,3,2,1,1
"78","locus022",149,6,2,2,1
"79","locus024",147,3,2,1,1
"80","locus025",144,3,2,1,1
"81","locus027",93,3,2,1,1
"82","locus030",149,3,2,1,1
"83","locus035",148,3,2,1,1
"84","locus038",137,3,2,1,1
"85","locus039",148,3,2,1,1
"86","locus040",133,3,2,1,1
"87","locus041",135,3,2,1,1
"88","locus043",55,3,2,1,1
"89","locus045",147,3,2,2,1
"90","locus047",149,3,2,1,1
"91","locus048",149,2,2,1,1
"92","locus053",149,6,2,2,1
"93","locus055",148,3,2,1,1
"94","locus056",149,3,2,1,1
"95","locus058",148,3,2,1,1
"96","locus060",149,3,2,1,1
"97","locus061",133,3,2,2,1
"98","locus062",149,3,2,1,1
"99","locus064",149,3,2,1,1
