"","locus","stratum","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","obs_minus_exp","num.snps"
"1","Dc00544","IsabelSI-South",27,18,0.6,2,0.0740740740740741,0,0.50314465408805,0.355555555555556,0.147589098532495,1
"2","Dc01018","IsabelSI-South",38,7,0.844444444444444,2,0.0526315789473684,0,0.38,0.422222222222222,-0.0422222222222222,1
"3","Dc01661","IsabelSI-South",44,1,0.977777777777778,3,0.0681818181818182,0.0227272727272727,0.63871473354232,0.577777777777778,0.060936955764542,2
"4","Dc01707","IsabelSI-South",45,0,1,4,0.0888888888888889,0,0.65892634207241,0.733333333333333,-0.0744069912609238,2
"5","Dc01784","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.424719101123596,0.511111111111111,-0.0863920099875155,1
"6","Dc02951","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.34956304619226,0.311111111111111,0.0384519350811486,1
"7","Dc03456","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.504619225967541,0.466666666666667,0.0379525593008739,1
"8","Dc03556","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.484587251828631,0.6,-0.115412748171369,1
"9","Dc05864","IsabelSI-South",28,17,0.622222222222222,3,0.107142857142857,0,0.564285714285714,0.355555555555556,0.208730158730159,2
"10","Dc06503","IsabelSI-South",27,18,0.6,2,0.0740740740740741,0,0.17120894479385,0.111111111111111,0.0600978336827394,1
"11","Dc07300","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.662172284644195,0.733333333333333,-0.0711610486891385,2
"12","Dc07937","IsabelSI-South",43,2,0.955555555555556,3,0.0697674418604651,0,0.591792065663475,0.555555555555556,0.0362365101079192,2
"13","Dc08054","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.60649188514357,0.622222222222222,-0.0157303370786517,2
"14","Dc08189","IsabelSI-South",44,1,0.977777777777778,3,0.0681818181818182,0.0227272727272727,0.5880355276907,0.666666666666667,-0.0786311389759665,2
"15","Dc08463","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.336828963795256,0.244444444444444,0.0923845193508116,1
"16","Dc08578","IsabelSI-South",25,20,0.555555555555556,3,0.12,0,0.594285714285714,0.288888888888889,0.305396825396825,2
"17","Dc08865","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.597503121098627,0.6,-0.00249687890137329,2
"18","Dc10003","IsabelSI-South",34,11,0.755555555555556,2,0.0588235294117647,0,0.331870061457419,0.266666666666667,0.0652033947907521,1
"19","Dc10390","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.182022471910112,0.155555555555556,0.0264669163545568,1
"20","Dc10878","IsabelSI-South",32,13,0.711111111111111,2,0.0625,0,0.503472222222222,0.333333333333333,0.170138888888889,1
"21","Dc10885","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.590012484394507,0.533333333333333,0.0566791510611736,2
"22","Dc11203","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.163795255930087,0.177777777777778,-0.0139825218476904,2
"23","Dc11714","IsabelSI-South",42,3,0.933333333333333,2,0.0476190476190476,0,0.491967871485944,0.377777777777778,0.114190093708166,1
"24","Dc13159","IsabelSI-South",42,3,0.933333333333333,3,0.0714285714285714,0,0.522948938611589,0.355555555555556,0.167393383056034,2
"25","Dc13592","IsabelSI-South",42,3,0.933333333333333,3,0.0714285714285714,0,0.353700516351119,0.311111111111111,0.0425894052400077,2
"26","Dc14022","IsabelSI-South",44,1,0.977777777777778,1,0.0227272727272727,0.0227272727272727,0,0,0,1
"27","Dc14945","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.145068664169788,0.155555555555556,-0.0104868913857679,1
"28","Dc16747","IsabelSI-South",38,7,0.844444444444444,2,0.0526315789473684,0,0.416842105263158,0.311111111111111,0.105730994152047,1
"29","Dc18951","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.469662921348315,0.377777777777778,0.0918851435705368,1
"30","Dc20232","IsabelSI-South",44,1,0.977777777777778,3,0.0681818181818182,0.0227272727272727,0.207941483803553,0.177777777777778,0.030163706025775,2
"31","Dc22883","IsabelSI-South",38,7,0.844444444444444,3,0.0789473684210526,0,0.635438596491228,0.488888888888889,0.146549707602339,2
