"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3"
"1","Dc00544",84,3,2,1,1
"2","Dc01018",118,3,2,1,1
"3","Dc01661",142,6,2,2,1
"4","Dc01707",143,9,2,2,1
"5","Dc01784",141,3,2,1,1
"6","Dc02951",143,3,2,1,1
"7","Dc03456",143,3,2,1,1
"8","Dc03556",142,3,2,1,1
"9","Dc05864",87,6,2,2,1
"10","Dc06503",86,2,2,1,1
"11","Dc07300",143,6,2,2,1
"12","Dc07937",136,5,2,2,1
"13","Dc08054",143,6,2,2,1
"14","Dc08189",133,5,2,2,1
"15","Dc08463",143,3,2,1,1
"16","Dc08578",81,6,2,2,1
"17","Dc08865",143,6,2,2,1
"18","Dc10003",109,3,2,1,1
"19","Dc10390",143,3,2,1,1
"20","Dc10878",99,3,2,1,1
"21","Dc10885",142,6,2,2,1
"22","Dc11203",143,3,2,2,1
"23","Dc11714",135,3,2,1,1
"24","Dc13159",128,5,2,2,1
"25","Dc13592",134,5,2,2,1
"26","Dc14022",139,2,2,1,1
"27","Dc14945",143,3,2,1,1
"28","Dc16747",120,3,2,1,1
"29","Dc18951",143,3,2,1,1
"30","Dc20232",140,5,2,2,1
"31","Dc22883",120,6,2,2,1
"32","Dc22887",143,3,2,1,1
"33","Dc27955",114,3,2,1,1
"34","Dc28124",143,2,2,1,1
"35","Dc28776",138,3,2,1,1
"36","Dc30071",142,3,2,1,1
"37","Dc31007",96,3,2,1,1
"38","Dc33714",142,5,2,2,1
"39","Dc33907",138,3,2,1,1
"40","Dc34902",143,3,2,1,1
"41","Dc35779",142,3,2,1,1
"42","Dc36571",133,3,2,1,1
"43","Dc36616",143,3,2,1,1
"44","Dc36767",87,6,2,2,1
"45","Dc40235",143,3,2,1,1
"46","Dc41234",96,6,2,2,1
"47","Dc46984",143,6,2,2,1
"48","Dc47572",143,5,2,2,1
"49","Dc47935",143,10,2,2,2
"50","Dc48207",126,2,2,1,1
"51","Dc48950",143,6,2,2,1
"52","Dc49080",143,3,2,1,1
"53","Dc49184",143,5,2,2,1
"54","Dc51020",143,3,2,1,1
"55","Dc52523",142,9,2,2,1
"56","Dc55481",125,3,2,1,1
"57","Dc58248",143,8,2,2,1
"58","Dc62188",143,6,2,2,1
"59","Dc67011",143,3,2,1,1
"60","locus002",99,3,2,1,1
"61","locus003",143,3,2,1,1
"62","locus004",143,3,2,1,1
"63","locus005",142,3,2,1,1
"64","locus006",143,3,2,1,1
"65","locus008",142,3,2,1,1
"66","locus013",143,3,2,1,1
