"","Locus.1","Locus.2","p.value","std.err","switches","loci"
"1","Dc00544","Dc01018",0.772006,0.001906,106516,"Dc00544 Dc01018"
"2","Dc00544","Dc01661",1,0,112628,"Dc00544 Dc01661"
"3","Dc01018","Dc01661",1,0,112735,"Dc01018 Dc01661"
"4","Dc00544","Dc01707",0.114004,0.002213,86161,"Dc00544 Dc01707"
"5","Dc01018","Dc01707",0.884462,0.001682,85756,"Dc01018 Dc01707"
"6","Dc01661","Dc01707",0.827464,0.00214,92406,"Dc01661 Dc01707"
"7","Dc00544","Dc01784",0.114348,0.001367,112959,"Dc00544 Dc01784"
"8","Dc01018","Dc01784",0.230906,0.001901,112838,"Dc01018 Dc01784"
"9","Dc01661","Dc01784",0.487034,0.002016,120381,"Dc01661 Dc01784"
"10","Dc01707","Dc01784",0.829568,0.001788,92765,"Dc01707 Dc01784"
"11","Dc00544","Dc02951",0.333632,0.001433,158769,"Dc00544 Dc02951"
"12","Dc01018","Dc02951",1,0,157896,"Dc01018 Dc02951"
"13","Dc01661","Dc02951",0.57086,0.001437,166720,"Dc01661 Dc02951"
"14","Dc01707","Dc02951",0.285532,0.001997,138358,"Dc01707 Dc02951"
"15","Dc01784","Dc02951",0.571308,0.001522,166069,"Dc01784 Dc02951"
"16","Dc00544","Dc03456",0.114132,0.001414,113182,"Dc00544 Dc03456"
"17","Dc01018","Dc03456",0.661268,0.002092,112849,"Dc01018 Dc03456"
"18","Dc01661","Dc03456",1,0,120095,"Dc01661 Dc03456"
"19","Dc01707","Dc03456",0.825504,0.00171,92470,"Dc01707 Dc03456"
"20","Dc01784","Dc03456",0.483074,0.001805,120366,"Dc01784 Dc03456"
"21","Dc02951","Dc03456",1,0,166567,"Dc02951 Dc03456"
"22","Dc00544","Dc03556",0.658954,0.001789,112852,"Dc00544 Dc03556"
"23","Dc01018","Dc03556",0.656876,0.001863,112913,"Dc01018 Dc03556"
"24","Dc01661","Dc03556",1,0,120536,"Dc01661 Dc03556"
"25","Dc01707","Dc03556",0.827486,0.001967,92341,"Dc01707 Dc03556"
"26","Dc01784","Dc03556",1,0,120272,"Dc01784 Dc03556"
"27","Dc02951","Dc03556",1,0,167284,"Dc02951 Dc03556"
"28","Dc03456","Dc03556",1,0,120282,"Dc03456 Dc03556"
"29","Dc00544","Dc05864",1,0,106101,"Dc00544 Dc05864"
"30","Dc01018","Dc05864",0.76963,0.001897,106180,"Dc01018 Dc05864"
"31","Dc01661","Dc05864",0.658072,0.001976,112782,"Dc01661 Dc05864"
"32","Dc01707","Dc05864",0.313928,0.002984,86557,"Dc01707 Dc05864"
"33","Dc01784","Dc05864",1,0,112923,"Dc01784 Dc05864"
"34","Dc02951","Dc05864",1,0,158475,"Dc02951 Dc05864"
"35","Dc03456","Dc05864",1,0,112883,"Dc03456 Dc05864"
"36","Dc03556","Dc05864",0.658576,0.001974,112449,"Dc03556 Dc05864"
"37","Dc00544","Dc06503",1,0,95582,"Dc00544 Dc06503"
"38","Dc01018","Dc06503",1,0,95505,"Dc01018 Dc06503"
"39","Dc01661","Dc06503",1,0,119316,"Dc01661 Dc06503"
"40","Dc01707","Dc06503",1,0,83438,"Dc01707 Dc06503"
"41","Dc01784","Dc06503",1,0,118980,"Dc01784 Dc06503"
"42","Dc02951","Dc06503",1,0,142868,"Dc02951 Dc06503"
"43","Dc03456","Dc06503",1,0,118851,"Dc03456 Dc06503"
"44","Dc03556","Dc06503",1,0,119164,"Dc03556 Dc06503"
"45","Dc05864","Dc06503",0.142016,0.001159,95161,"Dc05864 Dc06503"
"46","Dc00544","Dc07300",0.887286,0.001621,86069,"Dc00544 Dc07300"
"47","Dc01018","Dc07300",1,0,86575,"Dc01018 Dc07300"
"48","Dc01661","Dc07300",0.82946,0.002166,92292,"Dc01661 Dc07300"
"49","Dc01707","Dc07300",0.627206,0.003651,64563,"Dc01707 Dc07300"
"50","Dc01784","Dc07300",1,0,92406,"Dc01784 Dc07300"
"51","Dc02951","Dc07300",0.716986,0.001632,139141,"Dc02951 Dc07300"
"52","Dc03456","Dc07300",0.82622,0.002121,92894,"Dc03456 Dc07300"
"53","Dc03556","Dc07300",0.226896,0.002529,92748,"Dc03556 Dc07300"
"54","Dc05864","Dc07300",0.111886,0.001953,86439,"Dc05864 Dc07300"
"55","Dc06503","Dc07300",0.571494,0.002194,83419,"Dc06503 Dc07300"
"56","Dc00544","Dc07937",1,0,112632,"Dc00544 Dc07937"
"57","Dc01018","Dc07937",0.225248,0.001966,112661,"Dc01018 Dc07937"
"58","Dc01661","Dc07937",1,0,120309,"Dc01661 Dc07937"
"59","Dc01707","Dc07937",0.82692,0.00189,92370,"Dc01707 Dc07937"
"60","Dc01784","Dc07937",1,0,120527,"Dc01784 Dc07937"
"61","Dc02951","Dc07937",1,0,167283,"Dc02951 Dc07937"
"62","Dc03456","Dc07937",0.486688,0.002093,119824,"Dc03456 Dc07937"
"63","Dc03556","Dc07937",1,0,120578,"Dc03556 Dc07937"
"64","Dc05864","Dc07937",0.117258,0.001208,113119,"Dc05864 Dc07937"
"65","Dc06503","Dc07937",1,0,119185,"Dc06503 Dc07937"
"66","Dc07300","Dc07937",0.05523,0.001509,92775,"Dc07300 Dc07937"
"67","Dc00544","Dc08054",1,0,130918,"Dc00544 Dc08054"
"68","Dc01018","Dc08054",1,0,131075,"Dc01018 Dc08054"
"69","Dc01661","Dc08054",0.82783,0.001441,135082,"Dc01661 Dc08054"
"70","Dc01707","Dc08054",0.71214,0.002441,103495,"Dc01707 Dc08054"
"71","Dc01784","Dc08054",0.830626,0.001585,135343,"Dc01784 Dc08054"
"72","Dc02951","Dc08054",0.095682,0.000921,190693,"Dc02951 Dc08054"
"73","Dc03456","Dc08054",1,0,134987,"Dc03456 Dc08054"
"74","Dc03556","Dc08054",0.491118,0.001764,135400,"Dc03556 Dc08054"
"75","Dc05864","Dc08054",1,0,130997,"Dc05864 Dc08054"
"76","Dc06503","Dc08054",1,0,142876,"Dc06503 Dc08054"
"77","Dc07300","Dc08054",0.196412,0.001955,103238,"Dc07300 Dc08054"
"78","Dc07937","Dc08054",0.484422,0.001989,135379,"Dc07937 Dc08054"
"79","Dc00544","Dc08189",1,0,180532,"Dc00544 Dc08189"
"80","Dc01018","Dc08189",0.429716,0.001478,181373,"Dc01018 Dc08189"
"81","Dc01661","Dc08189",0.228706,0.001337,204759,"Dc01661 Dc08189"
"82","Dc01707","Dc08189",0.48359,0.001793,166632,"Dc01707 Dc08189"
"83","Dc01784","Dc08189",1,0,205031,"Dc01784 Dc08189"
"84","Dc02951","Dc08189",1,0,213926,"Dc02951 Dc08189"
"85","Dc03456","Dc08189",1,0,204658,"Dc03456 Dc08189"
"86","Dc03556","Dc08189",0.22857,0.001368,205581,"Dc03556 Dc08189"
"87","Dc05864","Dc08189",0.257442,0.001295,180863,"Dc05864 Dc08189"
"88","Dc06503","Dc08189",1,0,214385,"Dc06503 Dc08189"
"89","Dc07300","Dc08189",0.485074,0.001634,166810,"Dc07300 Dc08189"
"90","Dc07937","Dc08189",1,0,204234,"Dc07937 Dc08189"
"91","Dc08054","Dc08189",1,0,200143,"Dc08054 Dc08189"
"92","Dc00544","Dc08463",1,0,95890,"Dc00544 Dc08463"
"93","Dc01018","Dc08463",1,0,94684,"Dc01018 Dc08463"
"94","Dc01661","Dc08463",1,0,119345,"Dc01661 Dc08463"
"95","Dc01707","Dc08463",1,0,83320,"Dc01707 Dc08463"
"96","Dc01784","Dc08463",1,0,119196,"Dc01784 Dc08463"
"97","Dc02951","Dc08463",1,0,142388,"Dc02951 Dc08463"
"98","Dc03456","Dc08463",1,0,119185,"Dc03456 Dc08463"
"99","Dc03556","Dc08463",1,0,119294,"Dc03556 Dc08463"
"100","Dc05864","Dc08463",0.141752,0.001032,94953,"Dc05864 Dc08463"
"101","Dc06503","Dc08463",0.143868,0.000791,71831,"Dc06503 Dc08463"
"102","Dc07300","Dc08463",0.571222,0.002023,83445,"Dc07300 Dc08463"
"103","Dc07937","Dc08463",1,0,119099,"Dc07937 Dc08463"
"104","Dc08054","Dc08463",1,0,142656,"Dc08054 Dc08463"
"105","Dc08189","Dc08463",1,0,214673,"Dc08189 Dc08463"
"106","Dc00544","Dc08578",0.887916,0.001644,86104,"Dc00544 Dc08578"
"107","Dc01018","Dc08578",0.886672,0.001676,85933,"Dc01018 Dc08578"
"108","Dc01661","Dc08578",1,0,92843,"Dc01661 Dc08578"
"109","Dc01707","Dc08578",0.09951,0.002126,64323,"Dc01707 Dc08578"
"110","Dc01784","Dc08578",1,0,92474,"Dc01784 Dc08578"
"111","Dc02951","Dc08578",0.715838,0.001573,138708,"Dc02951 Dc08578"
"112","Dc03456","Dc08578",0.829244,0.001956,92056,"Dc03456 Dc08578"
"113","Dc03556","Dc08578",0.829896,0.001677,93249,"Dc03556 Dc08578"
"114","Dc05864","Dc08578",0.889272,0.001486,85847,"Dc05864 Dc08578"
"115","Dc06503","Dc08578",0.568966,0.002362,83959,"Dc06503 Dc08578"
"116","Dc07300","Dc08578",0.630618,0.004014,64683,"Dc07300 Dc08578"
"117","Dc07937","Dc08578",0.827348,0.001779,92332,"Dc07937 Dc08578"
"118","Dc08054","Dc08578",0.204758,0.002031,103341,"Dc08054 Dc08578"
"119","Dc08189","Dc08578",0.486888,0.001725,166814,"Dc08189 Dc08578"
"120","Dc08463","Dc08578",0.571202,0.002194,83377,"Dc08463 Dc08578"
"121","Dc00544","Dc08865",0.88543,0.001757,86256,"Dc00544 Dc08865"
"122","Dc01018","Dc08865",0.88676,0.001748,86174,"Dc01018 Dc08865"
"123","Dc01661","Dc08865",0.82988,0.002086,92069,"Dc01661 Dc08865"
"124","Dc01707","Dc08865",1,0,64379,"Dc01707 Dc08865"
"125","Dc01784","Dc08865",1,0,92638,"Dc01784 Dc08865"
"126","Dc02951","Dc08865",1,0,139437,"Dc02951 Dc08865"
"127","Dc03456","Dc08865",0.228718,0.002078,92324,"Dc03456 Dc08865"
"128","Dc03556","Dc08865",0.823028,0.001725,92425,"Dc03556 Dc08865"
"129","Dc05864","Dc08865",0.116928,0.001928,86452,"Dc05864 Dc08865"
"130","Dc06503","Dc08865",0.57037,0.002023,83549,"Dc06503 Dc08865"
"131","Dc07300","Dc08865",0.02659,0.001439,64133,"Dc07300 Dc08865"
"132","Dc07937","Dc08865",0.02975,0.001006,92291,"Dc07937 Dc08865"
"133","Dc08054","Dc08865",0.71284,0.002291,103972,"Dc08054 Dc08865"
"134","Dc08189","Dc08865",1,0,167140,"Dc08189 Dc08865"
"135","Dc08463","Dc08865",0.572988,0.002272,83581,"Dc08463 Dc08865"
"136","Dc08578","Dc08865",1,0,64238,"Dc08578 Dc08865"
"137","Dc00544","Dc10003",NA,NA,NA,"Dc00544 Dc10003"
"138","Dc01018","Dc10003",NA,NA,NA,"Dc01018 Dc10003"
"139","Dc01661","Dc10003",NA,NA,NA,"Dc01661 Dc10003"
"140","Dc01707","Dc10003",NA,NA,NA,"Dc01707 Dc10003"
"141","Dc01784","Dc10003",NA,NA,NA,"Dc01784 Dc10003"
"142","Dc02951","Dc10003",NA,NA,NA,"Dc02951 Dc10003"
"143","Dc03456","Dc10003",NA,NA,NA,"Dc03456 Dc10003"
"144","Dc03556","Dc10003",NA,NA,NA,"Dc03556 Dc10003"
"145","Dc05864","Dc10003",NA,NA,NA,"Dc05864 Dc10003"
"146","Dc06503","Dc10003",NA,NA,NA,"Dc06503 Dc10003"
"147","Dc07300","Dc10003",NA,NA,NA,"Dc07300 Dc10003"
"148","Dc07937","Dc10003",NA,NA,NA,"Dc07937 Dc10003"
